                   Hin-Har                     English
0                                                  के है?                                                    What is?
1                                                   के सै                                                    What is?
2                                                     ताऊ                                                       Uncle
3                                                  छांटणा                                            Being oversmart 
4                                                    भांण                                                      sister
5                                                    बेबे                                                      sister
6                                                     बीर                                                     brother
7                                                    बीरा                                                     brother
8                                                    बापू                                                      father
9                                                    बाबू                                                      father
10                                                    खसम                                                     husband
11                                                  घरआळा                                                     husband
12                                                  भरतार                                                     husband
13                                                    माँ                                                      mother
14                                                    धणी                                                        wife
15                                                  घरआली                                                        wife
16                                                 घरबैरण                                                        wife
17                                                  लुगाई                                                        wife
18                                                बिरबानी                                                        wife
19                                                   चाचा                                                       uncle
20                                                   काका                                                       uncle
21                                                   काकी                                                       aunty
22                                                    ताई                                                       aunty
23                                                   दादी                                                 grandmother
24                                                  दादा                                                  grandfather
25                                                    कदन                                                         day
26                                                    अलग                                                   different
27                                                   कररए                                                          do
28                                                 कु वाड                                                        door
29                                                   नीचे                                                        down
30                                                   धरती                                                       earth
31                                                   खाना                                                         eat
32                                                    खतम                                                         end
33                                                   बोहत                                                      enough
34                                                   सारे                                                       every
35                                                  उधारन                                                     example
36                                                     आख                                                         eye
37                                                    मुह                                                        face
38                                                 कु णबा                                                      family
39                                                   बाबु                                                      father
40                                                    पेर                                                        foot
41                                                   धोडा                                                         few
42                                                   पाया                                                        find
43                                                   पहला                                                       first
44                                                नू करना                                                      follow
45                                                   खाणा                                                        food
46                                                उस खातर                                                         for
47                    roop                     form
48                                                      त                                                        from
49                                                   पाणा                                                         get
50                                                   छोरी                                                        girl
51                                                   देणा                                                        give
52                                                   जाणा                                                          go
53                                                  आच्या                                                        good
54                                                   माहण                                                       great
55                                                  group                                                       group
56                                                   बडना                                                        grow
57                                                     था                                                         Had
58                                                    हाथ                                                        hand
59                                                   करडा                                                        hard
60                                                      ह                                                        have
61                                                      ह                                                         has
62                                                     वो                                                          he
63                                                     सर                                                        head
64                                                 सुनाया                                                        hear
65                                                    मदद                                                        help
66                                                    आडे                                                        here
67                                                    ऊचा                                                        high
68                                                   ताता                                                         hot
69                                                     घर                                                       house
70                                                  कु कर                                                         how
71                                                     मै                                                           I
72                                                  जवचार                                                        Idea
73                                                नूयू भी                                                          If
74                                                  जरूरी                                                   Important
75                                                      म                                                          In
76                                                      ह                                                          Is
77                                                    चीज                                                        Item
78                                                   abhi                                                        Just
79                                                  राखीए                                                        Keep
80                                                  दयालु                                                        Kind
81                                                 जपछाणा                                                        Know
82                                                   धरती                                                        Land
83                                                    बडा                                                       Large
